M                R               L
0.0168502       0       0.0400771
0.0169531       -0.0609556      0.0760745
0.00884508      -0.128871       0.105352
0.0213756       -0.13919        0.13511
0.0341461       -0.149749       0.124311
0.033889        -0.13487        0.120231
0.023844        -0.122391       0.120231
0.0260724       -0.0779944      0.116152
0.0248725       -0.107512       0.120231
0.0124791       -0.0950332      0.103193
0.0101136       -0.0823141      0.0866338
0.0365459       -0.084234       0.0991129
0.023964        -0.0885536      0.105352
0.0443625       -0.0801542      0.096953
0.0532933       -0.101273       0.0823141
0.0460081       -0.097193       0.0823141
-0.0415513      -0.113752       0.0801542
-0.0416027      -0.103433       0.0907135
-0.045151       -0.113752       0.096953
-0.0438654      -0.109672       0.0950332
-0.0465395      -0.120231       0.096953
-0.0384658      -0.0866338      0.0928733
-0.038363       -0.096953       0.0820741
-0.0366145      -0.096953       0.0739147
-0.0429398      -0.103433       0.096953
-0.0407285      -0.0928733      0.097193
-0.043814       -0.101273       0.103193
-0.0474652      -0.096953       0.124551
-0.042477       -0.096953       0.101273
-0.0470023      -0.105592       0.113752
-0.0474652      -0.118072       0.103433
-0.0397514      -0.0863938      0.0991129
-0.0456653      -0.107512       0.105592
-0.0447396      -0.105592       0.103193
-0.0434026      -0.0928733      0.109672
-0.0452025      -0.096953       0.113992
-0.0433512      -0.107512       0.0947932
-0.0470538      -0.105592       0.113992
-0.0442768      -0.0926334      0.113992
-0.0488022      -0.103433       0.124311
-0.0452025      -0.103433       0.107512
-0.03934        -0.0907135      0.0928733
-0.042477       -0.0926334      0.105592
-0.0398029      -0.0760745      0.109672
-0.0415513      -0.084234       0.109672
-0.0460767      -0.111832       0.103193
-0.0402657      -0.111832       0.0760745
-0.0433512      -0.105352       0.096953
-0.0429912      -0.107752       0.0928733
-0.0442254      -0.101033       0.105352
-0.047928       -0.105592       0.118072
-0.0515792      -0.122391       0.118312
-0.0420141      -0.120231       0.0758346
-0.0478766      -0.126471       0.096953
-0.0420141      -0.0863938      0.109672
-0.0389286      -0.0739147      0.107752
-0.0428883      -0.105352       0.0947932
-0.0461281      -0.120231       0.0950332
-0.0443282      -0.107752       0.0991129
-0.0424255      -0.084234       0.113752
-0.0488536      -0.103433       0.124551
-0.0488022      -0.103433       0.124311
-0.0524534      -0.120231       0.124551
-0.0488022      -0.109672       0.118072
-0.047928       -0.109672       0.113992
-0.0469509      -0.113752       0.105352
-0.0438654      -0.111832       0.0928733
-0.0416027      -0.0928733      0.101273
-0.0442254      -0.103193       0.103193
-0.0488536      -0.13727        0.0907135
-0.0388772      -0.115912       0.0655153
-0.0442768      -0.120231       0.0863938
-0.0425284      -0.0950332      0.103433
-0.0478766      -0.124311       0.0991129
-0.047928       -0.120231       0.103433
-0.052402       -0.126471       0.118072
-0.0429398      -0.109672       0.0907135
-0.0402143      -0.0760745      0.111592
-0.0438654      -0.103433       0.101273
-0.0515277      -0.113752       0.126711
-0.0470023      -0.101273       0.118072
-0.0438654      -0.0928733      0.111832
-0.0429398      -0.120231       0.0801542
-0.033889       -0.0991129      0.0590358
-0.0465395      -0.115912       0.101273
-0.047928       -0.113992       0.109672
-0.0456139      -0.115912       0.096953
-0.0434026      -0.0991129      0.103433
-0.0366145      -0.0760745      0.0947932
-0.0406771      -0.096953       0.0928733
-0.0406771      -0.0928733      0.096953
-0.0434026      -0.107512       0.0950332
-0.042477       -0.0907135      0.107512
-0.0370773      -0.0823141      0.0907135
-0.0420141      -0.0991129      0.096953
-0.0374887      -0.096953       0.0779944
-0.0488022      -0.118072       0.109672
-0.0474652      -0.101273       0.120231
-0.0493165      -0.103433       0.126711
-0.0483394      -0.101273       0.124311
-0.0442768      -0.0926334      0.113992
-0.0438654      -0.107752       0.096953
-0.0460767      -0.107512       0.107512
-0.0474652      -0.109672       0.111832
-0.0416027      -0.103433       0.0907135
-0.0401628      -0.0904735      0.096953
-0.0357917      -0.0887936      0.0782344
-0.0374887      -0.0907135      0.084234
-0.0402143      -0.0991129      0.0885536
-0.0410885      -0.0926334      0.0991129
-0.0425284      -0.0866338      0.111832
-0.0438654      -0.0801542      0.124551
-0.0262267      0       0.122391
-0.0212385      0       0.0991129
-0.0230383      0       0.107512
-0.0203128      0       0.0947932
-0.0149132      0       0.069595
-0.00997643     0       0.0465567
